set,experiment,k,q_squared,x_b,t,ReH,ImH,ReH_algorithmic_std,ImH_algorithmic_std,xsec_chi2,diff_chi2,joint_chi2,ReH_central,ReH_mean,ReH_std,ReH_q16,ReH_q50,ReH_q84,ImH_central,ImH_mean,ImH_std,ImH_q16,ImH_q50,ImH_q84,corr_ReH_ImH,ReH_half_68,ImH_half_68,cov_ReH_ImH
1,E07-007 Hall A,5.55,1.51,0.359,-0.1799999999999999,-0.5328274,5.696882,0.011888779,0.0054514315,0.84281944874847,1.996894571268755,1.4198570100086123,-0.5328274,-0.5151922,0.103706285,-0.6139603,-0.49796823,-0.44184723,5.696881,5.6869087,0.06583524,5.6183496,5.6966095,5.763792,-0.445086305473125,0.08605653500000002,0.07272119999999971,-0.0030388392853534503
2,E07-007 Hall A,5.55,1.51,0.359,-0.237,-0.7240161,5.418751,0.0022298554,0.0024209735,2.1998010763961005,1.7133434071595153,1.956572241777808,-0.72401655,-0.71026945,0.091660544,-0.80879366,-0.71878195,-0.6145227,5.4187503,5.4174037,0.054239184,5.361323,5.4146776,5.4797525,0.0525645135308628,0.09713548,0.059214750000000205,0.00026132937338233474
3,E07-007 Hall A,5.55,1.5199999999999998,0.3609999999999999,-0.298,-0.075384304,5.2880077,0.0008311396,0.0020788498,2.397549238819859,1.4588698058635654,1.9282095223417124,-0.07538423,-0.06339496,0.12199687,-0.19237687,-0.063596375,0.053648792,5.2880077,5.2872515,0.05772858,5.227403,5.2871075,5.3505464,0.0305398717770573,0.123012831,0.06157170000000001,0.00021508334032739528
4,E07-007 Hall A,5.55,1.74,0.359,-0.1829999999999999,-0.52031374,4.978293,0.005414519,0.0024220536,0.9947203730885684,2.9861581366561487,1.9904392548723584,-0.5203136,-0.5090944,0.08670791,-0.6082965,-0.49654812,-0.4236024,4.978293,4.959533,0.056480244,4.908419,4.9580684,5.023916,-0.5713069514605739,0.09234705000000001,0.05774849999999976,-0.0027978523430757557
8,E07-007 Hall A,5.55,1.98,0.357,-0.182,-0.7054862,4.8384004,0.014914914,0.009502811,0.267103375403629,0.4507968016501167,0.3589500885268729,-0.7054865,-0.6950562,0.0804529,-0.77156883,-0.6946333,-0.61796266,4.8384004,4.821327,0.056312036,4.7657294,4.825189,4.8803506,-0.4464427153884734,0.076803085,0.0573106000000001,-0.0020225938113738362
9,E07-007 Hall A,5.55,1.98,0.356,-0.242,-1.3216677,4.440232,0.027189486,0.010483911,0.7309117133950634,0.6316149147921765,0.68126331409362,-1.3216677,-1.3128905,0.046128128,-1.3663812,-1.3144307,-1.2636026,4.4402313,4.440894,0.03421977,4.4078803,4.434825,4.4778113,0.2930562155097517,0.05138929999999997,0.03496549999999976,0.0004625874575332877
10,E07-007 Hall A,5.55,1.98,0.356,-0.302,-1.2639519,4.0666676,0.014875979,0.01573477,1.1236231058041937,0.8251389659353227,0.9743810358697582,-1.2639519,-1.2616204,0.062475186,-1.3229035,-1.2655082,-1.1976786,4.066667,4.0678554,0.038662292,4.0315843,4.0732527,4.103694,0.5664214301376939,0.06261245000000004,0.036054850000000194,0.0013681535149139294
11,E07-007 Hall A,5.55,1.99,0.3579999999999999,-0.363,-0.86167,4.068984,0.008936228,0.014590302,1.3084076585028743,1.0494265344337286,1.1789170964683016,-0.8616699,-0.86467737,0.08946271,-0.9396059,-0.87231857,-0.7794326,4.068984,4.0697255,0.037121862,4.0268846,4.078224,4.10301,0.5589480064583848,0.08008664999999998,0.03806270000000023,0.001856278835779158
15,E07-007 Hall A,4.455,1.74,0.357,-0.1809999999999999,-0.55170774,4.995487,0.0065852553,0.0071631097,0.984611065635779,2.409862658712472,1.6972368621741256,-0.5517072,-0.53997195,0.086781956,-0.6419493,-0.5276151,-0.45275125,4.9954877,4.9768343,0.057427496,4.925724,4.9792604,5.0420256,-0.560355684825145,0.09459902499999998,0.05815079999999995,-0.002792628057340671
29,e1-DVCS1 Hall B,5.75,1.27,0.1539999999999999,-0.11,-2.3681788,6.628806,0.042350337,0.07794574,0.2281907178441835,0.0920107368321747,0.1601007273381791,-2.3681784,-2.1993637,0.37023172,-2.4716887,-2.2334032,-1.8764746,6.628806,6.6806445,0.34589222,6.3065014,6.7158155,7.047273,0.2201725056907786,0.29760705,0.37038579999999977,0.028195350865552245
