source_row,set,bin,k,Q2,xB,t,phi,dsig,dsig_err,delsig,delsig_err,exp d4sig (nb/Gev^4),d4sig_stat,d4sig_sys+,d4sig_sys-,exp del4sig (nb/GeV^4),del4sig_stat,del4sig_sys+,del4sig_sys-,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS,experiment,link,flag_xsec_systematic_missing,flag_xsec_diff_systematic_missing,xsec_total_err_recomputed,xsec_diff_total_err_recomputed,xsec_systematic_ratio,xsec_diff_systematic_ratio,flag_bad_kinematics,flag_xsec_nonpositive_or_missing,flag_xsec_error_nonpositive_or_missing,flag_xsec_systematic_anomaly,flag_xsec_diff_missing,flag_xsec_diff_error_nonpositive_or_missing,flag_xsec_diff_systematic_anomaly,flag_exact_duplicate,phi_centered_rad,local_xsec_prediction,local_xsec_pull,local_xsec_diff_prediction,local_xsec_diff_pull,local_xsec_multiplicative_ratio,flag_local_xsec_catastrophic_outlier,flag_local_xsec_diff_catastrophic_outlier,exclude_reason,common_valid
0,1,0,5.55,1.51,0.359,-0.18,15.0,0.120889267,0.00642073,0.002623496,0.006700963,0.1177,0.0052,0.0037664,0.0037664,0.00355,0.0067,0.0001136,0.0001136,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006420729628321068,0.006700962987511572,0.032,0.016955223880597014,False,False,False,False,False,False,False,False,0.2617993877991494,0.11224239705632925,0.8499973148842638,0.00344325172395678,0.01593028886178964,1.0486233641369207,False,False,,True
1,1,1,5.55,1.51,0.359,-0.18,45.0,0.114775222,0.006291947,0.021464056,0.006410942,0.1107,0.0052,0.0035424,0.0035424,0.0117,0.0064,0.0003744,0.0003744,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006291947056357039,0.0064109418465620165,0.031999999999999994,0.032,False,False,False,False,False,False,False,False,0.7853981633974483,0.107446019756238,0.5171658652903566,0.008990846589484862,0.42258274608558033,1.0302847909224024,False,False,,True
2,1,2,5.55,1.51,0.359,-0.18,75.0,0.096020393,0.005891896,0.010192492,0.006011471,0.0974,0.005,0.0031168,0.0031168,0.0116,0.006,0.0003712,0.0003712,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.0058918963195222634,0.006011471487082011,0.032,0.03200000000000001,False,False,False,False,False,False,False,False,1.3089969389957472,0.0957536028969107,0.27943416071903837,0.008905553912957968,0.44821739449851816,1.01719410083046,False,False,,True
3,1,3,5.55,1.51,0.359,-0.18,105.0,0.099866088,0.005614245,0.005097946,0.005500072,0.091,0.0048,0.002912,0.002912,0.000877,0.0055,2.8064e-05,2.8064e-05,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005614244739944991,0.005500071598451787,0.032,0.005102545454545455,False,False,False,False,False,False,False,False,1.8325957145940461,0.08803230397360423,0.5286011144617191,0.007725335841318013,-1.2451357620954877,1.033711443327504,False,False,,True
4,1,4,5.55,1.51,0.359,-0.18,135.0,0.078182339,0.005362722,0.017232368,0.005220377,0.0807,0.0047,0.0025824,0.0025824,0.0144,0.0052,0.0004608,0.0004608,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005362722234089698,0.005220377059178771,0.032,0.032,False,False,False,False,False,False,False,False,2.356194490192345,0.08341154858168477,-0.5056291307515488,0.007833424062370276,1.257873878302332,1.0336003541720542,False,False,,True
5,1,5,5.55,1.51,0.359,-0.18,165.0,0.069375614,0.005231536,0.006820824,0.00510849,0.0718,0.0047,0.0022976,0.0022976,0.0092,0.0051,0.0002944,0.0002944,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005231535698052724,0.0051084901252718504,0.032,0.032,False,False,False,False,False,False,False,False,2.8797932657906435,0.07539528055660692,-0.6872323470802562,0.003466047268482156,1.1224359039379974,1.0500735453566423,False,False,,True
6,1,6,5.55,1.51,0.359,-0.18,195.0,0.080613733,0.005429495,-0.004564529,0.00520286,0.0793,0.0048,0.0025376,0.0025376,0.00539,0.0052,0.00017248,0.00017248,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005429494797861031,0.00520285972811107,0.032,0.032,False,False,False,False,False,False,False,False,-2.8797932657906435,0.07539528055660692,0.7191680973580362,-0.003466047268482156,1.7021499197129801,1.0517899716609105,False,False,,True
7,1,7,5.55,1.51,0.359,-0.18,225.0,0.076597979,0.005624628,-0.00597061,0.005300864,0.0863,0.0049,0.0027616,0.0027616,-0.00299,0.0053,-9.568e-05,-9.568e-05,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005624627504110828,0.005300863577041009,0.032,0.018052830188679245,False,False,False,False,False,False,False,False,-2.356194490192345,0.08341154858168477,0.5135364815188508,-0.007833424062370276,0.9137047184817234,1.0346289149096253,False,False,,True
8,1,8,5.55,1.51,0.359,-0.18,255.0,0.079520621,0.005607429,-0.010935587,0.005614727,0.0852,0.0049,0.0027264,0.0027264,-0.0127,0.0056,-0.0004064,-0.0004064,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005607428729819042,0.005614727149203244,0.032,0.032,False,False,False,False,False,False,False,False,-1.8325957145940461,0.08803230397360423,-0.5050985237748415,-0.007725335841318013,-0.8860028326377203,1.0332430043850263,False,False,,True
9,1,9,5.55,1.51,0.359,-0.18,285.0,0.088701614,0.005835072,-0.017172919,0.006006441,0.094,0.005,0.003008,0.003008,-0.00869,0.006,-0.00027808,-0.00027808,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005835071893301744,0.006006440583773388,0.032,0.032,False,False,False,False,False,False,False,False,-1.3089969389957472,0.0957536028969107,-0.30052807042938395,-0.008905553912957968,0.035887129815334345,1.0186553499671351,False,False,,True
10,1,10,5.55,1.51,0.359,-0.18,315.0,0.113438335,0.006098552,-0.004925187,0.006400969,0.1045,0.0051,0.003344,0.003344,-0.00348,0.0064,-0.00011136,-0.00011136,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006098551959276891,0.0064009687586802045,0.032,0.0174,False,False,False,False,False,False,False,False,-0.7853981633974483,0.107446019756238,-0.48306873105453085,-0.008990846589484862,0.8609394604545962,1.0281915766147178,False,False,,True
11,1,11,5.55,1.51,0.359,-0.18,345.0,0.107615052,0.006146352,-0.015737766,0.006603108,0.1072,0.0051,0.0034304,0.0034304,-0.00633,0.0066,-0.00020256,-0.00020256,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.0061463521018568406,0.0066031076436477995,0.032,0.03069090909090909,False,False,False,False,False,False,False,False,-0.2617993877991494,0.11224239705632925,-0.8203885772840641,-0.00344325172395678,-0.4371802538794406,1.0470372859732207,False,False,,True
12,2,0,5.55,1.51,0.359,-0.237,15.0,0.101846654,0.006710989,0.011255194,0.006808296,0.1055,0.0058,0.003376,0.003376,0.0105,0.0068,0.000336,0.000336,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006710989196832311,0.006808296115769348,0.032,0.031999999999999994,False,False,False,False,False,False,False,False,0.2617993877991494,0.11356553829177676,-1.2018404523112365,0.008679342086945251,0.2674175567713262,1.0764505999220546,False,False,,True
13,2,1,5.55,1.51,0.359,-0.237,45.0,0.089636114,0.006137207,0.024244161,0.006239481,0.0967,0.0053,0.0030944,0.0030944,0.0219,0.0062,0.0007008,0.0007008,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.0061372071302832855,0.006239480798912679,0.032,0.032,False,False,False,False,False,False,False,False,0.7853981633974483,0.10076869863041607,-0.6629560554245576,0.017373598656667842,0.7254451915487823,1.042075477046702,False,False,,True
14,2,2,5.55,1.51,0.359,-0.237,75.0,0.084150846,0.005908966,0.011732648,0.005716106,0.0877,0.0052,0.0028064,0.0028064,0.0134,0.0057,0.0004288,0.0004288,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005908966149843812,0.005716106143171241,0.032,0.032,False,False,False,False,False,False,False,False,1.3089969389957472,0.09306279181391902,-0.9075685454824907,0.015543367973886385,-0.37496993936107437,1.0611492795201714,False,False,,True
15,2,3,5.55,1.51,0.359,-0.237,105.0,0.076512509,0.005795999,0.023952584,0.005319171,0.08,0.0052,0.00256,0.00256,0.0141,0.0053,0.0004512,0.0004512,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.005795998619737586,0.005319171123398833,0.032,0.032,False,False,False,False,False,False,False,False,1.8325957145940461,0.08453831324821204,-0.7830079932657935,0.010141867396022717,0.7441258256508437,1.0567289156026505,False,False,,True
