source_row,set,bin,k,q_squared,x_b,t,phi_deg,phi,unp_beam_unp_target_xsec,unp_beam_unp_target_xsec_err,unp_beam_unp_target_xsec_errstat,unp_beam_unp_target_xsec_errsyst_plus,unp_beam_unp_target_xsec_errsyst_minus,xsec_diff,xsec_diff_err,xsec_diff_errstat,xsec_diff_errsyst_plus,xsec_diff_errsyst_minus,bsa_from_central_values,experiment_year,experiment,link,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS
0,1,0,5.55,1.51,0.359,-0.18,15.0,0.2617993877991494,0.1177,0.006420729628321068,0.0052,0.0037664,0.0037664,0.00355,0.006700962987511572,0.0067,0.0001136,0.0001136,0.030161427357689043,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
1,1,1,5.55,1.51,0.359,-0.18,45.0,0.7853981633974483,0.1107,0.006291947056357039,0.0052,0.0035424,0.0035424,0.0117,0.0064109418465620165,0.0064,0.0003744,0.0003744,0.1056910569105691,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
2,1,2,5.55,1.51,0.359,-0.18,75.0,1.3089969389957472,0.0974,0.0058918963195222634,0.005,0.0031168,0.0031168,0.0116,0.006011471487082011,0.006,0.0003712,0.0003712,0.1190965092402464,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
3,1,3,5.55,1.51,0.359,-0.18,105.0,1.8325957145940461,0.091,0.005614244739944991,0.0048,0.002912,0.002912,0.000877,0.005500071598451787,0.0055,2.8064e-05,2.8064e-05,0.009637362637362637,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
4,1,4,5.55,1.51,0.359,-0.18,135.0,2.356194490192345,0.0807,0.005362722234089698,0.0047,0.0025824,0.0025824,0.0144,0.005220377059178771,0.0052,0.0004608,0.0004608,0.1784386617100372,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
5,1,5,5.55,1.51,0.359,-0.18,165.0,2.8797932657906435,0.0718,0.005231535698052724,0.0047,0.0022976,0.0022976,0.0092,0.0051084901252718504,0.0051,0.0002944,0.0002944,0.12813370473537603,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
6,1,6,5.55,1.51,0.359,-0.18,195.0,-2.8797932657906435,0.0793,0.005429494797861031,0.0048,0.0025376,0.0025376,0.00539,0.00520285972811107,0.0052,0.00017248,0.00017248,0.06796973518284993,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
7,1,7,5.55,1.51,0.359,-0.18,225.0,-2.356194490192345,0.0863,0.005624627504110828,0.0049,0.0027616,0.0027616,-0.00299,0.005300863577041009,0.0053,9.568e-05,9.568e-05,-0.034646581691772885,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
8,1,8,5.55,1.51,0.359,-0.18,255.0,-1.8325957145940461,0.0852,0.005607428729819042,0.0049,0.0027264,0.0027264,-0.0127,0.005614727149203244,0.0056,0.0004064,0.0004064,-0.14906103286384975,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
9,1,9,5.55,1.51,0.359,-0.18,285.0,-1.3089969389957472,0.094,0.005835071893301744,0.005,0.003008,0.003008,-0.00869,0.006006440583773388,0.006,0.00027808,0.00027808,-0.0924468085106383,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
