set,experiment,k,q_squared,x_b,t,ReH,ImH,ReH_algorithmic_std,ImH_algorithmic_std,xsec_chi2,diff_chi2,joint_chi2
1,E07-007 Hall A,5.55,1.51,0.359,-0.17999999999999997,-0.5328274,5.696882,0.011888779,0.0054514315,0.84281944874847,1.996894571268755,1.4198570100086125
2,E07-007 Hall A,5.55,1.51,0.359,-0.23700000000000002,-0.7240161,5.418751,0.0022298554,0.0024209735,2.1998010763961005,1.7133434071595153,1.956572241777808
3,E07-007 Hall A,5.55,1.5199999999999998,0.36099999999999993,-0.298,-0.075384304,5.2880077,0.0008311396,0.0020788498,2.397549238819859,1.4588698058635654,1.9282095223417124
4,E07-007 Hall A,5.55,1.74,0.359,-0.18299999999999997,-0.52031374,4.978293,0.005414519,0.0024220536,0.9947203730885684,2.9861581366561487,1.9904392548723586
8,E07-007 Hall A,5.55,1.9799999999999998,0.357,-0.18200000000000002,-0.7054862,4.8384004,0.014914914,0.009502811,0.267103375403629,0.45079680165011676,0.3589500885268729
9,E07-007 Hall A,5.55,1.9799999999999998,0.35600000000000004,-0.242,-1.3216677,4.440232,0.027189486,0.010483911,0.7309117133950634,0.6316149147921765,0.68126331409362
10,E07-007 Hall A,5.55,1.9799999999999998,0.35600000000000004,-0.302,-1.2639519,4.0666676,0.014875979,0.01573477,1.1236231058041937,0.8251389659353227,0.9743810358697582
11,E07-007 Hall A,5.55,1.99,0.35799999999999993,-0.363,-0.86167,4.068984,0.008936228,0.014590302,1.3084076585028745,1.0494265344337286,1.1789170964683016
15,E07-007 Hall A,4.455,1.74,0.357,-0.18099999999999997,-0.55170774,4.995487,0.0065852553,0.0071631097,0.984611065635779,2.409862658712472,1.6972368621741256
29,e1-DVCS1 Hall B,5.75,1.27,0.15399999999999997,-0.11000000000000001,-2.3681788,6.628806,0.042350337,0.07794574,0.2281907178441835,0.09201073683217471,0.1601007273381791
34,e1-DVCS1 Hall B,5.75,1.27,0.15399999999999997,-0.4499999999999999,-2.5663633,2.619423,0.05057416,0.048506945,1.0032260063572587,0.07095513469638012,0.5370905705268194
41,e1-DVCS1 Hall B,5.75,1.45,0.18400000000000002,-0.11,-0.75056136,6.767421,0.07426519,0.06835148,0.03729612402729229,0.10095703782889076,0.06912658092809153
42,e1-DVCS1 Hall B,5.75,1.4499999999999997,0.18400000000000005,-0.14999999999999997,-1.5979462,5.8634977,0.0613492,0.026713656,0.06437868768542078,0.11469727872207694,0.08953798320374887
43,e1-DVCS1 Hall B,5.75,1.4499999999999997,0.18400000000000002,-0.20000000000000004,-1.7915497,5.13226,0.09688073,0.0209313,0.1388914666418872,0.0956417869632524,0.1172666268025698
44,e1-DVCS1 Hall B,5.75,1.4499999999999997,0.18400000000000002,-0.25999999999999995,-1.9688904,4.49296,0.021977596,0.018576484,0.3250638133915949,0.11803034972230395,0.2215470815569494
45,e1-DVCS1 Hall B,5.75,1.4499999999999997,0.18400000000000002,-0.33999999999999997,-2.2375207,3.8194206,0.055672105,0.0484679,0.8062512351126365,0.10052319152647562,0.45338721331955606
46,e1-DVCS1 Hall B,5.75,1.45,0.184,-0.45,-2.441557,3.0890207,0.05645547,0.05210663,1.7257289361474184,0.0989083772670637,0.912318656707241
53,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.11,1.2207043,5.9566164,0.04538388,0.19077669,0.1928567453486367,0.14434681518651213,0.1686017802675744
54,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.15,0.2422598,5.755583,0.020731311,0.031994283,0.0675124883155437,0.18302755160976694,0.12527001996265533
55,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.20000000000000004,-0.6839266,5.0946493,0.012426687,0.02435118,0.21121278559113946,0.1692396123506915,0.19022619897091547
56,e1-DVCS1 Hall B,5.75,1.64,0.21400000000000005,-0.25999999999999995,-1.2040825,4.496336,0.073195405,0.03726418,0.3690939482397014,0.2019723193620595,0.2855331338008804
57,e1-DVCS1 Hall B,5.75,1.64,0.214,-0.34,-1.7633739,3.9850078,0.01192102,0.09955618,0.7888581243064565,0.16272813726069224,0.4757931307835744
59,e1-DVCS1 Hall B,5.75,1.8800000000000001,0.215,-0.11,3.132361,5.6429963,0.05880797,0.078533284,0.13984182077595803,0.07541784431714411,0.10762983254655106
60,e1-DVCS1 Hall B,5.75,1.8800000000000001,0.215,-0.14999999999999997,0.93351066,5.675068,0.04576239,0.0459374,0.3377061484487093,0.0728483529486886,0.20527725069869895
66,e1-DVCS1 Hall B,5.75,1.79,0.244,-0.15,0.8815664,4.880645,0.098294705,0.026132584,0.05247936380593104,0.10907515631686926,0.08077726006140015
67,e1-DVCS1 Hall B,5.75,1.7899999999999998,0.24399999999999994,-0.20000000000000007,0.44846198,4.909444,0.10473227,0.079232275,0.07411126967139742,0.14188487076626535,0.10799807021883139
68,e1-DVCS1 Hall B,5.75,1.79,0.244,-0.26,0.034613907,4.5946674,0.04242618,0.10356486,0.2512605621512951,0.16880131007388866,0.21003093611259188
69,e1-DVCS1 Hall B,5.75,1.7999999999999998,0.24399999999999997,-0.34,-0.73769057,4.122324,0.17966884,0.050102025,0.6475407008914849,0.1730860700560291,0.41031338547375695
71,e1-DVCS1 Hall B,5.75,2.12,0.244,-0.11,0.6174767,3.8063273,0.07669525,0.19382872,2.854245745565533,0.11517344344787706,1.484709594506705
72,e1-DVCS1 Hall B,5.75,2.12,0.245,-0.15,3.7181888,4.45656,0.007500284,0.13187562,0.1685828967492662,0.08768718743289805,0.12813504209108212
73,e1-DVCS1 Hall B,5.75,2.1199999999999997,0.24500000000000002,-0.20000000000000004,3.497362,5.461105,0.30318972,0.13107973,0.40081822115092114,0.13212921591091525,0.26647371853091817
74,e1-DVCS1 Hall B,5.75,2.1199999999999997,0.24500000000000002,-0.25999999999999995,1.0274074,5.0345354,0.17863187,0.074318685,0.6693402485598787,0.1922022613998638,0.43077125497987123
75,e1-DVCS1 Hall B,5.75,2.1199999999999997,0.24500000000000002,-0.33999999999999997,-0.19494872,3.744312,0.10197618,0.02590268,0.673823744256783,0.1321967778222728,0.4030102610395279
79,e1-DVCS1 Hall B,5.75,1.9399999999999993,0.274,-0.20000000000000007,0.48609766,4.3212924,0.07258539,0.11876883,0.009868881230155993,0.049805283995936304,0.02983708261304615
85,e1-DVCS1 Hall B,5.75,2.3500000000000005,0.27500000000000013,-0.20000000000000007,2.7091575,4.200348,0.06659729,0.029029835,0.039283856185887187,0.08249993273506998,0.06089189446047858
86,e1-DVCS1 Hall B,5.75,2.3500000000000005,0.27500000000000013,-0.25999999999999995,5.8931985,4.695394,0.7353027,0.17979656,0.16651435723850433,0.16463180907713124,0.16557308315781777
87,e1-DVCS1 Hall B,5.75,2.3500000000000005,0.2750000000000001,-0.33999999999999997,5.9979534,4.362268,0.14753632,0.09650363,0.16238509877159904,0.20755964399812674,0.1849723713848629
88,e1-DVCS1 Hall B,5.75,2.3500000000000005,0.2750000000000001,-0.4499999999999999,1.2916967,3.2508743,0.7614792,0.15536249,0.4186919696743717,0.125002276042775,0.2718471228585734
91,e1-DVCS1 Hall B,5.75,2.1000000000000005,0.30400000000000005,-0.20000000000000004,-0.75625014,3.938669,0.015628476,0.14325882,0.004282566047595491,0.033691546644053105,0.0189870563458243
