set,n,chi2_per_point,k,q_squared,x_b,t
316,13,3.5803984075171162,5.88,3.265,0.398,-0.265
178,16,3.4217823421635964,5.88,1.426,0.155,-0.203
185,22,2.9267091120164412,5.88,1.4865,0.184,-0.1085
294,13,2.831920633192197,5.88,2.42,0.364,-0.264
169,18,2.825126781503482,5.88,1.302,0.154,-0.203
324,14,2.778435353207246,5.88,3.076,0.458,-0.452
279,14,2.677129764779808,5.88,2.296,0.334,-0.343
317,17,2.621636891786412,5.88,3.272,0.399,-0.342
286,24,2.600839462224714,5.88,2.859,0.335,-0.2625
325,16,2.5174183420584635,5.88,3.113,0.463,-0.611
284,14,2.5107378874304542,5.88,2.843,0.332,-0.158
266,11,2.5065101329106305,5.88,2.625,0.301,-0.119
250,21,2.4640587233244386,5.88,2.414,0.275,-0.203
270,19,2.4481864361984753,5.88,2.652,0.305,-0.341
302,19,2.4216399758816722,5.88,3.055,0.364,-0.263
261,16,2.4123620263027545,5.88,2.1635,0.304,-0.342
269,23,2.3868874358867673,5.88,2.653,0.305,-0.262
224,24,2.355308258924174,5.88,1.848,0.244,-0.262
330,16,2.3428289519735306,5.88,3.8445,0.46950000000000003,-0.4535
287,22,2.341417601210154,5.88,2.858,0.335,-0.341
210,13,2.279472494525916,5.88,1.684,0.215,-0.867
301,13,2.2659333888266384,5.88,3.05,0.364,-0.205
201,19,2.225425674946372,5.88,1.669,0.185,-0.865
214,18,2.20656784705182,5.88,1.936,0.215,-0.203
332,16,2.1749408361729032,5.88,3.981,0.493,-0.8755
253,20,2.162128530545132,5.88,2.412,0.275,-0.447
240,23,2.160629542321522,5.88,1.997,0.274,-0.154
252,20,2.096186766307646,5.88,2.4135,0.275,-0.341
179,18,2.051533768768624,5.88,1.426,0.155,-0.261
288,22,2.0141960290923655,5.88,2.855,0.335,-0.448
227,12,2.013812689583882,5.88,1.847,0.245,-0.6054999999999999
278,17,2.0004746249926466,5.88,2.297,0.334,-0.263
197,17,1.9897188792135359,5.88,1.672,0.185,-0.262
246,17,1.9862745966137425,5.88,1.998,0.275,-0.869
312,12,1.981776949284695,5.88,2.5515,0.399,-0.6125
231,24,1.953917170193656,5.88,2.1765,0.245,-0.153
310,13,1.9361621005804273,5.88,2.554,0.399,-0.343
174,15,1.9286424938632245,5.88,1.303,0.155,-0.865
206,20,1.9067007306036534,5.88,1.686,0.214,-0.262
188,20,1.9031434132491043,5.88,1.488,0.184,-0.262
311,13,1.897302869162138,5.88,2.554,0.399,-0.451
331,16,1.8894575699756895,5.88,3.944,0.4855,-0.612
195,18,1.8587104384001343,5.88,1.671,0.185,-0.153
280,14,1.856774279215084,5.88,2.296,0.334,-0.45
181,18,1.8475436720333651,5.88,1.427,0.155,-0.446
186,22,1.84708920636101,5.88,1.487,0.184,-0.153
232,17,1.8358424215035973,5.88,2.177,0.245,-0.203
248,15,1.835788043374418,5.88,2.407,0.274,-0.111
329,14,1.8230062948959167,5.88,3.712,0.448,-0.346
245,14,1.809083733609059,5.88,1.997,0.275,-0.606
222,22,1.785080571472095,5.88,1.8475000000000001,0.244,-0.153
260,20,1.7477132762716159,5.88,2.1645000000000003,0.304,-0.263
308,10,1.7400521139568024,5.88,2.516,0.392,-0.213
187,20,1.7335030437010137,5.88,1.488,0.184,-0.203
161,18,1.7304944793743082,5.88,1.13,0.125,-0.261
275,1,1.7206306083296101,5.88,2.23,0.324,-0.127
64,19,1.7155541013240152,5.75,1.88,0.215,-0.45
194,18,1.714650608364447,5.88,1.671,0.185,-0.108
190,20,1.7104491410790519,5.88,1.4885000000000002,0.184,-0.447
102,16,1.708377080254683,5.75,2.23,0.335,-0.2
281,19,1.6690660170751639,5.88,2.298,0.335,-0.607
239,17,1.6409241371747088,5.88,1.993,0.274,-0.11
293,15,1.6388340681094282,5.88,2.419,0.364,-0.205
88,20,1.6353987887896924,5.75,2.35,0.275,-0.45
290,12,1.6210524275509062,5.88,2.846,0.335,-0.87
295,14,1.6179473021644488,5.88,2.421,0.364,-0.343
233,20,1.6091730553390324,5.88,2.1765,0.245,-0.262
303,23,1.605222385031608,5.88,3.054,0.365,-0.342
272,18,1.603523258051686,5.88,2.649,0.305,-0.605
212,22,1.5945698895766176,5.88,1.934,0.215,-0.109
262,17,1.588738664874018,5.88,2.163,0.305,-0.449
200,19,1.5815401587723932,5.88,1.671,0.185,-0.604
307,11,1.5723036100075858,5.88,3.025,0.365,-1.397
305,20,1.5695279817697672,5.88,3.049,0.365,-0.606
238,13,1.55059275255168,5.88,2.161,0.245,-1.384
251,22,1.5467462174252413,5.88,2.414,0.275,-0.262
326,15,1.5458161544106583,5.88,3.109,0.463,-0.883
276,14,1.5441128735566931,5.88,2.287,0.333,-0.158
204,24,1.5410461959434925,5.88,1.685,0.214,-0.153
319,22,1.5404596294928548,5.88,3.268,0.4,-0.606
58,15,1.536530517824783,5.75,1.64,0.214,-0.45
183,22,1.535220074963381,5.88,1.427,0.156,-0.864
257,9,1.5312707916921109,5.88,2.144,0.301,-0.118
292,9,1.530209425170521,5.88,2.387,0.359,-0.169
45,20,1.5301738535548228,5.75,1.45,0.184,-0.34
285,20,1.529435947941026,5.88,2.8585000000000003,0.334,-0.204
84,16,1.520232589060638,5.75,2.35,0.275,-0.15
300,8,1.5145680984687544,5.88,2.999,0.358,-0.171
230,22,1.5140474153866605,5.88,2.175,0.245,-0.109
205,22,1.513469407370543,5.88,1.685,0.214,-0.203
313,16,1.501777329191655,5.88,2.5525,0.3995,-0.8745
213,20,1.498996970811044,5.88,1.935,0.215,-0.153
167,19,1.48587665538346,5.88,1.301,0.154,-0.108
173,19,1.4715514441495123,5.88,1.303,0.154,-0.604
235,19,1.4667426845341673,5.88,2.176,0.245,-0.447
208,16,1.4662417450920322,5.88,1.6855,0.215,-0.447
23,16,1.4641852710149,5.75,1.11,0.126,-0.11
268,24,1.4641252219137317,5.88,2.655,0.305,-0.204
76,19,1.4593094268301692,5.75,2.12,0.245,-0.45
46,17,1.4568204680505628,5.75,1.45,0.184,-0.45
243,18,1.4488564109002517,5.88,1.997,0.274,-0.342
221,23,1.4263906813117975,5.88,1.846,0.244,-0.109
242,19,1.4227272796419939,5.88,1.997,0.274,-0.263
172,20,1.4223325219587895,5.88,1.3025,0.154,-0.447
234,20,1.420857911566705,5.88,2.176,0.245,-0.3405
166,16,1.416622972470114,5.88,1.1315,0.125,-1.3780000000000001
277,18,1.4131959300260633,5.88,2.297,0.334,-0.204
182,20,1.411144001175302,5.88,1.427,0.156,-0.603
168,18,1.3998271802304745,5.88,1.301,0.154,-0.153
318,24,1.398326353303979,5.88,3.272,0.3995,-0.4485
123,11,1.392691392705535,5.75,3.12,0.391,-0.21
104,12,1.379822758381288,5.75,2.23,0.335,-0.34
259,21,1.3770257269914739,5.88,2.165,0.304,-0.204
223,23,1.3745152020989446,5.88,1.847,0.244,-0.203
33,18,1.364554888534254,5.75,1.27,0.154,-0.34
255,13,1.3610810386339625,5.88,2.406,0.275,-0.868
297,20,1.3531928561038638,5.88,2.4219999999999997,0.365,-0.6074999999999999
333,12,1.3516539576945112,5.88,3.9905,0.4965,-1.415
283,18,1.3514502167251239,5.88,2.295,0.335,-1.4
74,20,1.347365054728009,5.75,2.12,0.245,-0.26
118,23,1.3316968861033904,5.75,2.97,0.365,-0.45
141,24,1.3302312265039615,5.7572,1.986,0.379,-0.323
256,16,1.311552544913698,5.88,2.3935,0.275,-1.387
51,18,1.3034694273987109,5.75,1.63,0.185,-0.34
177,16,1.299481482211936,5.88,1.426,0.155,-0.1525
171,16,1.297194407168947,5.88,1.302,0.154,-0.34
244,15,1.2901333074408976,5.88,1.997,0.275,-0.448
296,15,1.285536620684439,5.88,2.42,0.364,-0.45
271,20,1.2842894085312362,5.88,2.6515,0.305,-0.4475
207,19,1.2836494231984237,5.88,1.686,0.214,-0.341
309,13,1.271224330733538,5.88,2.552,0.399,-0.264
38,16,1.260617286136916,5.75,1.39,0.155,-0.26
170,17,1.257126752870431,5.88,1.302,0.154,-0.262
39,18,1.2567096382165674,5.75,1.39,0.155,-0.34
78,16,1.255601883317318,5.75,1.94,0.274,-0.15
249,24,1.2523233556398674,5.88,2.415,0.275,-0.1535
236,19,1.250643448137058,5.88,2.174,0.245,-0.605
189,20,1.2443370186443432,5.88,1.4885000000000002,0.184,-0.34
110,22,1.24072269248691,5.75,2.78,0.335,-0.45
70,13,1.2350975442413061,5.75,1.8,0.244,-0.45
216,17,1.2272048319227806,5.88,1.935,0.215,-0.34
40,18,1.2235300637168423,5.75,1.39,0.155,-0.45
203,23,1.2219233000891627,5.88,1.684,0.214,-0.109
98,24,1.211380043113141,5.75,2.58,0.305,-0.26
159,16,1.2103425558276713,5.88,1.129,0.124,-0.152
339,24,1.1942999908295049,8.521,3.65,0.367,-0.204594263
121,11,1.1906584408558352,5.75,2.48,0.399,-0.34
37,16,1.1835361772000272,5.75,1.39,0.155,-0.2
320,17,1.1778114069294205,5.88,3.263,0.4,-0.872
42,22,1.1750747948187792,5.75,1.45,0.184,-0.15
218,18,1.172359597167219,5.88,1.934,0.215,-0.604
114,11,1.168476172384283,5.75,2.35,0.365,-0.45
